state,abbreviation,evs_count
alabama,AL,426
arizona,AZ,1840
arkansas,AR,353
california,CA,32601
colorado,CO,3042
connecticut,CT,1165
delaware,DE,200
district of columbia,DC,500
florida,FL,5102
georgia,GA,3508
idaho,ID,243
illinois,IL,2118
indiana,IN,735
iowa,IA,455
kansas,KS,892
kentucky,KY,369
louisiana,LA,327
maine,ME,507
maryland,MD,2333
massachusetts,MA,3537
michigan,MI,1526
minnesota,MN,1170
mississippi,MS,279
missouri,MO,1976
montana,MT,191
nebraska,NE,300
nevada,NV,1129
new hampshire,NH,280
new jersey,NJ,1478
new mexico,NM,372
new york,NY,5820
north carolina,NC,2011
north dakota,ND,112
ohio,OH,1644
oklahoma,OK,982
oregon,OR,1979
pennsylvania,PA,2130
rhode island,RI,474
south carolina,SC,695
south dakota,SD,131
tennessee,TN,1309
texas,TX,4668
utah,UT,1659
vermont,VT,786
virginia,VA,2028
washington,WA,3543
west virginia,WV,244
wisconsin,WI,819
wyoming,WY,168
