County_Name,Tornado_Count
Anderson,5
Bedford,19
Benton,21
Bledsoe,8
Blount,14
Bradley,26
Campbell,1
Cannon,12
Carroll,22
Carter,4
Cheatham,12
Chester,13
Claiborne,10
Clay,2
Cocke,3
Coffee,26
Crockett,12
Cumberland,21
Davidson,46
Decatur,7
DeKalb,12
Dickson,17
Dyer,30
Fayette,22
Fentress,19
Franklin,29
Gibson,31
Giles,19
Grainger,3
Greene,11
Grundy,8
Hamblen,3
Hamilton,25
Hancock,2
Hardeman,17
Hardin,20
Hawkins,3
Haywood,13
Henderson,19
Henry,13
Hickman,20
Houston,11
Humphreys,25
Jackson,10
Jefferson,8
Johnson,3
Knox,15
Lake,9
Lauderdale,24
Lawrence,40
Lewis,12
Lincoln,37
Loudon,8
McMinn,23
McNairy,18
Macon,13
Madison,31
Marion,20
Marshall,17
Maury,16
Meigs,3
Monroe,18
Montgomery,30
Moore,12
Morgan,6
Obion,20
Overton,13
Perry,13
Pickett,6
Polk,14
Putnam,19
Rhea,4
Roane,5
Robertson,24
Rutherford,41
Scott,7
Sequatchie,10
Sevier,3
Shelby,56
Smith,15
Stewart,17
Sullivan,4
Sumner,42
Tipton,22
Trousdale,12
Unicoi,2
Union,2
Van Buren,3
Warren,21
Washington,9
Wayne,19
Weakley,25
White,19
Williamson,26
Wilson,49
